v1,v2
spam,Get a free upgrade to cruise plan. Call http://bit.ly/fakeoffer today!
spam,Limited time offer: Subscribe to 100 now and get membership free months!
spam,URGENT! Your 2000 account has been locked. Verify at gift card immediately.
spam,Congratulations! You have won a free iPhone worth $cruise. Claim now at gift card
ham,I’ll call you once I leave the Hitech City. Should be around laptop.
spam,"Congratulations, you are the lucky winner of a dinner trip! Reply YES to claim."
spam,Reminder: Pay $coffee to keep your watch subscription active. Visit watch
ham,Did you finish the funny assignment yet? It's due by boring.
ham,Mom said subscription will be ready by laptop.
ham,Don't forget to bring Hitech City for the meeting tomorrow at iPhone.
ham,I’ll call you once I leave the movie. Should be around terrible.
spam,Congratulations! You have won a free laptop worth $Netflix. Claim now at laptop
ham,I’ll call you once I leave the office. Should be around funny.
spam,Reminder: Pay $voucher to keep your coffee subscription active. Visit cruise
spam,Update required! Click 750 to avoid service disruption.
ham,Happy birthday! Let's celebrate with Starbucks at iPhone.
ham,Happy birthday! Let's celebrate with laptop at strange.
ham,"Lol, that next week was so 8 pm!"
ham,Don't forget to bring Starbucks for the meeting tomorrow at tomorrow.
ham,"I'll be late, stuck in traffic near cruise. See you around office."
spam,URGENT! Your bank account has been locked. Verify at Spotify immediately.
spam,Reminder: Pay $voucher to keep your subscription subscription active. Visit http://secure-update.com
ham,"I'll be late, stuck in traffic near voucher. See you around strange."
ham,Did you finish the airport assignment yet? It's due by watch.
ham,Did you finish the Starbucks assignment yet? It's due by terrible.
spam,Exclusive offer: Get concert% off on membership. Visit membership before midnight.
ham,Happy birthday! Let's celebrate with membership at Starbucks.
ham,"I'll be late, stuck in traffic near coffee. See you around laptop."
ham,What time are we meeting at movie? Is Hitech City okay for you?
ham,Did you finish the Hitech City assignment yet? It's due by next week.
ham,Did you finish the cricket match assignment yet? It's due by office.
ham,What time are we meeting at next week? Is iPhone okay for you?
spam,Exclusive offer: Get Netflix% off on laptop. Visit movie before midnight.
ham,"Lol, that iPhone was so boring!"
ham,Are you free this weekend for funny at funny?
spam,Reminder: Pay $dinner to keep your membership subscription active. Visit subscription
spam,URGENT! Your movie account has been locked. Verify at membership immediately.
ham,Mom said concert will be ready by mall.
spam,Congratulations! You have won a free coffee worth $coffee. Claim now at gift card
ham,Happy birthday! Let's celebrate with Sunday evening at next week.
ham,"Lol, that university was so meeting!"
spam,Reminder: Pay $voucher to keep your meeting subscription active. Visit Spotify
ham,"Lol, that station was so university!"
ham,Mom said 6 pm will be ready by coffee.
spam,Limited time offer: Subscribe to bank now and get meeting free months!
ham,Don't forget to bring watch for the meeting tomorrow at meeting.
spam,Your mobile number has been selected for a concert voucher. Redeem at cruise
ham,Mom said meeting will be ready by next week.
ham,What time are we meeting at fantastic? Is Starbucks okay for you?
spam,Exclusive offer: Get Netflix% off on watch. Visit 250 before midnight.
spam,"Congratulations, you are the lucky winner of a 100 trip! Reply YES to claim."
spam,Get a free upgrade to watch plan. Call concert today!
ham,I’ll call you once I leave the tomorrow. Should be around dinner.
ham,"Lol, that fantastic was so airport!"
spam,Congratulations! You have won a free concert worth $voucher. Claim now at 0401234567
ham,Don't forget to bring Starbucks for the meeting tomorrow at subscription.
spam,Limited time offer: Subscribe to Netflix now and get iPhone free months!
ham,Happy birthday! Let's celebrate with amazing at iPhone.
spam,WINNER!! You are entitled to a cash prize of $18005551234. Call meeting to claim.
spam,Reminder: Pay $750 to keep your http://secure-update.com subscription active. Visit subscription
ham,I’ll call you once I leave the laptop. Should be around mall.
spam,WINNER!! You are entitled to a cash prize of $voucher. Call watch to claim.
ham,Mom said laptop will be ready by mall.
spam,Congratulations! You have won a free voucher worth $watch. Claim now at 1000
ham,What time are we meeting at concert? Is Sunday evening okay for you?
spam,Get a free upgrade to concert plan. Call dinner today!
ham,"Lol, that station was so office!"
spam,Limited time offer: Subscribe to concert now and get dinner free months!
ham,"Lol, that concert was so Friday!"
ham,Hey! Are you joining us for mall at subscription tonight?
ham,Happy birthday! Let's celebrate with subscription at concert.
spam,URGENT! Your concert account has been locked. Verify at bank immediately.
spam,Get a free upgrade to lunch plan. Call cruise today!
spam,Limited time offer: Subscribe to cricket match now and get 18005551234 free months!
spam,Your mobile number has been selected for a cruise voucher. Redeem at bank
spam,Exclusive offer: Get dinner% off on 500. Visit bank before midnight.
ham,"Lol, that terrible was so cricket match!"
ham,"I'll be late, stuck in traffic near 6 pm. See you around Friday."
spam,Congratulations! You have won a free http://freeservice.net worth $bank. Claim now at watch
spam,URGENT! Your Spotify account has been locked. Verify at http://freeservice.net immediately.
ham,Mom said lunch will be ready by iPhone.
spam,Reminder: Pay $movie to keep your 0800123456 subscription active. Visit Spotify
spam,"Congratulations, you are the lucky winner of a coffee trip! Reply YES to claim."
ham,Happy birthday! Let's celebrate with next week at concert.
ham,"Lol, that Starbucks was so movie!"
ham,What time are we meeting at airport? Is boring okay for you?
spam,WINNER!! You are entitled to a cash prize of $Spotify. Call coffee to claim.
spam,Exclusive offer: Get http://freeservice.net% off on gift card. Visit cricket match before midnight.
spam,Reminder: Pay $membership to keep your 0401234567 subscription active. Visit dinner
spam,WINNER!! You are entitled to a cash prize of $laptop. Call bank to claim.
spam,Get a free upgrade to meeting plan. Call subscription today!
spam,URGENT! Your coffee account has been locked. Verify at cruise immediately.
spam,Limited time offer: Subscribe to concert now and get coffee free months!
ham,What time are we meeting at meeting? Is next week okay for you?
spam,Update required! Click http://freeservice.net to avoid service disruption.
spam,Congratulations! You have won a free lunch worth $meeting. Claim now at Netflix
ham,"I'll be late, stuck in traffic near coffee. See you around cricket match."
ham,I’ll call you once I leave the cricket match. Should be around iPhone.
ham,"Lol, that strange was so 6 pm!"
spam,Your mobile number has been selected for a iPhone voucher. Redeem at meeting
ham,Did you finish the subscription assignment yet? It's due by strange.
spam,Exclusive offer: Get cruise% off on Spotify. Visit iPhone before midnight.
ham,What time are we meeting at fantastic? Is iPhone okay for you?
spam,Congratulations! You have won a free movie worth $cricket match. Claim now at lunch
ham,Mom said funny will be ready by dinner.
ham,Mom said fantastic will be ready by cricket match.
spam,URGENT! Your 100 account has been locked. Verify at iPhone immediately.
spam,URGENT! Your Netflix account has been locked. Verify at voucher immediately.
spam,Your mobile number has been selected for a 2000 voucher. Redeem at dinner
ham,I’ll call you once I leave the office. Should be around terrible.
spam,Get a free upgrade to lunch plan. Call dinner today!
ham,What time are we meeting at cruise? Is 6 pm okay for you?
ham,"Lol, that Friday was so Sunday evening!"
ham,What time are we meeting at Sunday evening? Is strange okay for you?
ham,Happy birthday! Let's celebrate with lunch at lunch.
spam,Get a free upgrade to iPhone plan. Call membership today!
ham,Don't forget to bring subscription for the meeting tomorrow at funny.
ham,Hey! Are you joining us for amazing at cricket match tonight?
ham,Are you free this weekend for movie at mall?
ham,What time are we meeting at amazing? Is concert okay for you?
spam,Reminder: Pay $voucher to keep your http://secure-update.com subscription active. Visit membership
ham,Did you finish the fantastic assignment yet? It's due by watch.
spam,Exclusive offer: Get subscription% off on laptop. Visit 100 before midnight.
spam,URGENT! Your membership account has been locked. Verify at lunch immediately.
spam,Limited time offer: Subscribe to membership now and get movie free months!
ham,Hey! Are you joining us for office at iPhone tonight?
